ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
190,Switzerland,Midfielder,Johan Manzambi,20,12,3,0,German Football Association,SC Freiburg
191,Switzerland,Midfielder,Granit Xhaka (captain),33,146,17,0,The Football Association,Sunderland
192,Switzerland,Forward,Dan Ndoye,25,31,8,0,The Football Association,Nottingham Forest
193,Switzerland,Goalkeeper,Yvon Mvogo,32,13,0,0,French Football Federation,Lorient
194,Switzerland,Defender,Ricardo Rodriguez,33,138,9,0,Royal Spanish Football Federation,Real Betis
195,Switzerland,Midfielder,Ardon Jashari,23,8,0,0,Italian Football Federation,Milan
196,Switzerland,Midfielder,Djibril Sow,29,52,0,0,Royal Spanish Football Federation,Sevilla
197,Switzerland,Forward,Christian Fassnacht,32,23,5,0,Swiss Football Association,Young Boys
198,Switzerland,Forward,Rubén Vargas,27,61,11,0,Royal Spanish Football Federation,Sevilla
199,Switzerland,Defender,Eray Cömert,28,22,0,0,Royal Spanish Football Federation,Valencia
200,Switzerland,Forward,Noah Okafor,26,25,2,0,The Football Association,Leeds United
201,Switzerland,Midfielder,Michel Aebischer,29,40,2,0,Italian Football Federation,Pisa
202,Switzerland,Goalkeeper,Marvin Keller,23,1,0,0,Swiss Football Association,Young Boys
203,Switzerland,Midfielder,Fabian Rieder,24,28,1,0,German Football Association,FC Augsburg
204,Switzerland,Forward,Zeki Amdouni,25,29,11,0,The Football Association,Burnley
205,Switzerland,Defender,Aurèle Amenda,22,7,0,0,German Football Association,Eintracht Frankfurt
206,Switzerland,Defender,Luca Jaquez,23,3,0,0,German Football Association,VfB Stuttgart
207,Switzerland,Forward,Cedric Itten,29,15,5,0,German Football Association,Fortuna Düsseldorf
208,Brazil,Goalkeeper,Alisson,33,78,0,0,The Football Association,Liverpool
209,Brazil,Midfielder,Éderson Silva,26,3,0,0,Italian Football Federation,Atalanta
210,Brazil,Defender,Gabriel Magalhães,28,17,1,0,The Football Association,Arsenal
211,Brazil,Defender,Marquinhos (captain),32,105,7,0,French Football Federation,Paris Saint-Germain
212,Brazil,Midfielder,Casemiro,34,86,9,0,The Football Association,Manchester United
213,Brazil,Defender,Alex Sandro,35,45,2,0,Brazilian Football Confederation,Flamengo
214,Brazil,Forward,Vinícius Júnior,25,49,9,0,Royal Spanish Football Federation,Real Madrid
215,Brazil,Midfielder,Bruno Guimarães,28,43,3,0,The Football Association,Newcastle United
216,Brazil,Forward,Matheus Cunha,27,23,1,0,The Football Association,Manchester United
217,Brazil,Forward,Neymar,34,128,79,0,Brazilian Football Confederation,Santos
218,Brazil,Forward,Raphinha,29,39,11,0,Royal Spanish Football Federation,Barcelona
219,Brazil,Goalkeeper,Weverton,38,11,0,0,Brazilian Football Confederation,Grêmio
220,Brazil,Defender,Danilo Luiz,34,70,1,0,Brazilian Football Confederation,Flamengo
221,Brazil,Defender,Bremer,29,8,1,0,Italian Football Federation,Juventus
222,Brazil,Defender,Léo Pereira,30,4,0,0,Brazilian Football Confederation,Flamengo
223,Brazil,Defender,Douglas Santos,32,7,0,0,Russian Football Union,Zenit Saint Petersburg
224,Brazil,Midfielder,Fabinho,32,33,0,0,Saudi Arabian Football Federation,Al-Ittihad
225,Brazil,Midfielder,Danilo Santos,25,4,2,0,Brazilian Football Confederation,Botafogo
226,Brazil,Forward,Endrick,19,17,4,0,French Football Federation,Lyon
227,Brazil,Midfielder,Lucas Paquetá,28,63,13,0,Brazilian Football Confederation,Flamengo
228,Brazil,Forward,Luiz Henrique,25,15,2,0,Russian Football Union,Zenit Saint Petersburg
229,Brazil,Forward,Gabriel Martinelli,24,23,4,0,The Football Association,Arsenal
230,Brazil,Goalkeeper,Ederson Moraes,32,32,0,0,Turkish Football Federation,Fenerbahçe
231,Brazil,Defender,Roger Ibañez,27,7,0,0,Saudi Arabian Football Federation,Al-Ahli
232,Brazil,Forward,Igor Thiago,24,4,2,0,The Football Association,Brentford
233,Brazil,Forward,Rayan,19,2,1,0,The Football Association,Bournemouth
234,Haiti,Goalkeeper,Johny Placide (captain),38,81,0,0,French Football Federation,Bastia
235,Haiti,Defender,Carlens Arcus,29,53,1,0,French Football Federation,Angers
236,Haiti,Defender,Keeto Thermoncy,20,1,0,0,Swiss Football Association,Young Boys
237,Haiti,Defender,Ricardo Adé,36,59,2,0,Ecuadorian Football Federation,LDU Quito
238,Haiti,Defender,Hannes Delcroix,27,7,0,0,Swiss Football Association,Lugano
239,Haiti,Midfielder,Carl Sainté,23,26,0,0,United States Soccer Federation,El Paso Locomotive FC
240,Haiti,Forward,Derrick Etienne Jr.,29,48,8,0,Canadian Soccer Association,Toronto FC
241,Haiti,Defender,Martin Expérience,27,21,0,0,French Football Federation,Nancy
242,Haiti,Forward,Duckens Nazon,32,78,44,0,Football Federation Islamic Republic of Iran,Esteghlal
243,Haiti,Midfielder,Jean-Ricner Bellegarde,27,10,0,0,The Football Association,Wolverhampton Wanderers
244,Haiti,Forward,Louicius Deedson,25,32,10,0,United States Soccer Federation,FC Dallas
245,Haiti,Goalkeeper,Alexandre Pierre,25,15,0,0,French Football Federation,Sochaux
246,Haiti,Defender,Duke Lacroix,32,16,3,0,United States Soccer Federation,Colorado Springs Switchbacks FC
