ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
890,Norway,Forward,Alexander Sørloth,30,72,26,0,Royal Spanish Football Federation,Atlético Madrid
891,Norway,Midfielder,Sander Berge,28,66,1,0,The Football Association,Fulham
892,Norway,Forward,Erling Haaland,25,50,55,0,The Football Association,Manchester City
893,Norway,Midfielder,Martin Ødegaard (captain),27,68,5,0,The Football Association,Arsenal
894,Norway,Forward,Jørgen Strand Larsen,26,28,6,0,The Football Association,Crystal Palace
895,Norway,Goalkeeper,Sander Tangvik,23,0,0,0,German Football Association,Hamburger SV
896,Norway,Goalkeeper,Egil Selvik,28,7,0,0,The Football Association,Watford
897,Norway,Midfielder,Fredrik Aursnes,30,22,1,0,Portuguese Football Federation,Benfica
898,Norway,Defender,Fredrik André Bjørkan,27,21,1,0,Norwegian Football Federation,Bodø/Glimt
899,Norway,Defender,Marcus Holmgren Pedersen,25,32,0,0,Italian Football Federation,Torino
900,Norway,Defender,Torbjørn Heggem,27,15,0,0,Italian Football Federation,Bologna
901,Norway,Midfielder,Kristian Thorstvedt,27,37,4,0,Italian Football Federation,Sassuolo
902,Norway,Midfielder,Thelo Aasgaard,24,8,5,0,Scottish Football Association,Rangers
903,Norway,Forward,Antonio Nusa,21,24,8,0,German Football Association,RB Leipzig
904,Norway,Midfielder,Andreas Schjelderup,22,12,1,0,Portuguese Football Federation,Benfica
905,Norway,Midfielder,Oscar Bobb,22,20,2,0,The Football Association,Fulham
906,Norway,Midfielder,Jens Petter Hauge,26,15,1,0,Norwegian Football Federation,Bodø/Glimt
907,Norway,Defender,Sondre Langås,25,3,0,0,The Football Association,Derby County
908,Norway,Defender,Henrik Falchener,23,1,0,0,Norwegian Football Federation,Viking
909,Norway,Forward,Julian Ryerson,28,43,1,0,German Football Association,Borussia Dortmund
910,Senegal,Goalkeeper,Yehvann Diouf,26,2,0,0,French Football Federation,Nice
911,Senegal,Defender,Mamadou Sarr,20,7,0,0,The Football Association,Chelsea
912,Senegal,Defender,Kalidou Koulibaly (captain),34,102,2,0,Saudi Arabian Football Federation,Al-Hilal
913,Senegal,Defender,Abdoulaye Seck,34,22,4,0,Israel Football Association,Maccabi Haifa
914,Senegal,Midfielder,Idrissa Gueye,36,130,7,0,The Football Association,Everton
915,Senegal,Midfielder,Pathé Ciss,32,29,0,0,Royal Spanish Football Federation,Rayo Vallecano
916,Senegal,Forward,Assane Diao,20,5,0,0,Italian Football Federation,Como
917,Senegal,Midfielder,Lamine Camara,22,32,7,0,French Football Federation,Monaco
918,Senegal,Forward,Bamba Dieng,26,22,2,0,French Football Federation,Lorient
919,Senegal,Forward,Sadio Mané,34,127,55,0,Saudi Arabian Football Federation,Al-Nassr
920,Senegal,Forward,Nicolas Jackson,24,32,8,0,German Football Association,Bayern Munich
921,Senegal,Forward,Cherif Ndiaye,30,18,4,0,Turkish Football Federation,Samsunspor
922,Senegal,Forward,Iliman Ndiaye,26,39,4,0,The Football Association,Everton
923,Senegal,Defender,Ismail Jakobs,26,29,0,0,Turkish Football Federation,Galatasaray
924,Senegal,Defender,Krépin Diatta,27,60,2,0,French Football Federation,Monaco
925,Senegal,Goalkeeper,Édouard Mendy,34,56,0,0,Saudi Arabian Football Federation,Al-Ahli
926,Senegal,Midfielder,Pape Matar Sarr,23,39,4,0,The Football Association,Tottenham Hotspur
927,Senegal,Forward,Ismaïla Sarr,28,82,19,0,The Football Association,Crystal Palace
928,Senegal,Defender,Moussa Niakhaté,30,30,0,0,French Football Federation,Lyon
929,Senegal,Forward,Ibrahim Mbaye,18,10,3,0,French Football Federation,Paris Saint-Germain
930,Senegal,Midfielder,Habib Diarra,22,20,4,0,The Football Association,Sunderland
931,Senegal,Midfielder,Bara Sapoko Ndiaye,18,1,0,0,German Football Association,Bayern Munich
932,Senegal,Goalkeeper,Mory Diaw,32,5,0,0,French Football Federation,Le Havre
933,Senegal,Defender,Antoine Mendy,22,6,0,0,French Football Federation,Nice
934,Senegal,Defender,El Hadji Malick Diouf,21,19,1,0,The Football Association,West Ham United
935,Senegal,Midfielder,Pape Gueye,27,41,5,0,Royal Spanish Football Federation,Villarreal
936,Algeria,Goalkeeper,Melvin Mastil,26,1,0,0,Swiss Football Association,Stade Nyonnais
937,Algeria,Defender,Aïssa Mandi,34,117,7,0,French Football Federation,Lille
938,Algeria,Defender,Achref Abada,26,7,1,0,Algerian Football Federation,USM Alger
939,Algeria,Defender,Mohamed Amine Tougai,26,29,2,0,Tunisian Football Federation,Espérance de Tunis
940,Algeria,Defender,Zineddine Belaïd,27,10,1,0,Algerian Football Federation,JS Kabylie
941,Algeria,Midfielder,Ramiz Zerrouki,28,52,3,0,Royal Dutch Football Association,Twente
942,Algeria,Forward,Riyad Mahrez (captain),35,114,38,0,Saudi Arabian Football Federation,Al-Ahli
943,Algeria,Midfielder,Houssem Aouar,27,20,6,0,Saudi Arabian Football Federation,Al-Ittihad
944,Algeria,Forward,Amine Gouiri,26,22,8,0,French Football Federation,Marseille
945,Algeria,Midfielder,Farès Chaïbi,23,29,3,0,German Football Association,Eintracht Frankfurt
946,Algeria,Forward,Anis Hadj Moussa,24,14,1,0,Royal Dutch Football Association,Feyenoord
947,Algeria,Forward,Nadhir Benbouali,26,3,1,0,Hungarian Football Federation,Győri ETO
948,Algeria,Defender,Jaouen Hadjam,23,17,3,0,Swiss Football Association,Young Boys
949,Algeria,Midfielder,Hicham Boudaoui,26,32,0,0,French Football Federation,Nice
950,Algeria,Defender,Rayan Aït-Nouri,25,28,0,0,The Football Association,Manchester City
951,Algeria,Goalkeeper,Oussama Benbot,31,2,0,0,Algerian Football Federation,USM Alger
952,Algeria,Defender,Rafik Belghali,24,12,1,0,Italian Football Federation,Hellas Verona
953,Algeria,Forward,Mohamed Amoura,26,45,19,0,German Football Association,VfL Wolfsburg
954,Algeria,Midfielder,Nabil Bentaleb,31,59,6,0,French Football Federation,Lille
955,Algeria,Forward,Adil Boulbina,23,11,6,0,Qatar Football Association,Al-Duhail
956,Algeria,Defender,Ramy Bensebaini,31,81,7,0,German Football Association,Borussia Dortmund
957,Algeria,Midfielder,Ibrahim Maza,20,16,2,0,German Football Association,Bayer Leverkusen
958,Algeria,Goalkeeper,Luca Zidane,28,7,0,0,Royal Spanish Football Federation,Granada
959,Algeria,Midfielder,Yacine Titraoui,22,5,0,0,Royal Belgian Football Association,Charleroi
960,Algeria,Forward,Farès Ghedjemis,23,1,1,0,Italian Football Federation,Frosinone
961,Algeria,Defender,Samir Chergui,27,4,0,0,French Football Federation,Paris FC
962,Argentina,Goalkeeper,Juan Musso,32,4,0,0,Royal Spanish Football Federation,Atlético Madrid
963,Argentina,Defender,Nicolás Tagliafico,33,76,1,0,French Football Federation,Lyon
964,Argentina,Defender,Gonzalo Montiel,29,38,2,0,Argentine Football Association,River Plate
965,Argentina,Midfielder,Leandro Paredes,31,77,5,0,Argentine Football Association,Boca Juniors
966,Argentina,Defender,Lisandro Martínez,28,27,1,0,The Football Association,Manchester United
967,Argentina,Midfielder,Rodrigo De Paul,32,86,2,0,United States Soccer Federation,Inter Miami CF
968,Argentina,Midfielder,Valentín Barco,21,3,1,0,French Football Federation,Strasbourg
969,Argentina,Forward,Julián Alvarez,26,51,14,0,Royal Spanish Football Federation,Atlético Madrid
970,Argentina,Forward,Lionel Messi (captain),38,198,116,0,United States Soccer Federation,Inter Miami CF
971,Argentina,Midfielder,Giovani Lo Celso,30,66,4,0,Royal Spanish Football Federation,Real Betis
972,Argentina,Goalkeeper,Gerónimo Rulli,34,7,0,0,French Football Federation,Marseille
973,Argentina,Defender,Cristian Romero,28,50,3,0,The Football Association,Tottenham Hotspur
974,Argentina,Midfielder,Exequiel Palacios,27,39,0,0,German Football Association,Bayer Leverkusen
975,Argentina,Midfielder,Nicolás González,28,50,6,0,Royal Spanish Football Federation,Atlético Madrid
976,Argentina,Forward,Thiago Almada,25,15,4,0,Royal Spanish Football Federation,Atlético Madrid
977,Argentina,Forward,Giuliano Simeone,23,12,2,0,Royal Spanish Football Federation,Atlético Madrid
978,Argentina,Forward,Nico Paz,21,8,1,0,Italian Football Federation,Como
979,Argentina,Defender,Nicolás Otamendi,38,131,8,0,Portuguese Football Federation,Benfica
980,Argentina,Midfielder,Alexis Mac Allister,27,45,6,0,The Football Association,Liverpool
981,Argentina,Forward,José Manuel López,25,4,0,0,Brazilian Football Confederation,Palmeiras
982,Argentina,Forward,Lautaro Martínez,28,76,37,0,Italian Football Federation,Inter Milan
983,Argentina,Goalkeeper,Emiliano Martínez,33,59,0,0,The Football Association,Aston Villa
984,Argentina,Midfielder,Enzo Fernández,25,41,6,0,The Football Association,Chelsea
985,Argentina,Defender,Facundo Medina,27,8,0,0,French Football Federation,Marseille
986,Argentina,Defender,Nahuel Molina,28,58,1,0,Royal Spanish Football Federation,Atlético Madrid
987,Austria,Goalkeeper,Alexander Schlager,30,26,0,0,Austrian Football Association,Red Bull Salzburg
988,Austria,Defender,David Affengruber,25,1,0,0,Royal Spanish Football Federation,Elche
989,Austria,Defender,Kevin Danso,27,32,0,0,The Football Association,Tottenham Hotspur
990,Austria,Midfielder,Xaver Schlager,28,51,4,0,German Football Association,RB Leipzig
991,Austria,Defender,Stefan Posch,29,52,5,0,German Football Association,Mainz 05
992,Austria,Midfielder,Nicolas Seiwald,25,47,1,0,German Football Association,RB Leipzig
993,Austria,Forward,Marko Arnautović,37,133,47,0,Football Association of Serbia,Red Star Belgrade
994,Austria,Defender,David Alaba (captain),33,113,15,0,Royal Spanish Football Federation,Real Madrid
995,Austria,Midfielder,Marcel Sabitzer,32,98,26,0,German Football Association,Borussia Dortmund
996,Austria,Midfielder,Florian Grillitsch,30,58,1,0,Portuguese Football Federation,Braga
997,Austria,Forward,Michael Gregoritsch,32,75,24,0,German Football Association,FC Augsburg
998,Austria,Goalkeeper,Florian Wiegele,25,1,0,0,Football Association of the Czech Republic,Viktoria Plzeň
999,Austria,Goalkeeper,Patrick Pentz,29,18,0,0,Danish Football Association,Brøndby
1000,Austria,Forward,Saša Kalajdžić,28,22,4,0,Austrian Football Association,LASK
1001,Austria,Defender,Philipp Lienhart,29,41,3,0,German Football Association,SC Freiburg
1002,Austria,Defender,Phillipp Mwene,32,30,0,0,German Football Association,Mainz 05
1003,Austria,Midfielder,Carney Chukwuemeka,22,3,1,0,German Football Association,Borussia Dortmund
1004,Austria,Midfielder,Romano Schmid,26,34,3,0,German Football Association,Werder Bremen
1005,Austria,Midfielder,Konrad Laimer,29,57,7,0,German Football Association,Bayern Munich
1006,Austria,Forward,Patrick Wimmer,25,30,1,0,German Football Association,VfL Wolfsburg
1007,Austria,Midfielder,Alexander Prass,25,19,0,0,German Football Association,TSG Hoffenheim
1008,Austria,Defender,Marco Friedl,28,11,0,0,German Football Association,Werder Bremen
1009,Austria,Midfielder,Paul Wanner,20,3,0,0,Royal Dutch Football Association,PSV Eindhoven
1010,Austria,Defender,Michael Svoboda,27,4,0,0,Italian Football Federation,Venezia
1011,Austria,Midfielder,Alessandro Schöpf,32,35,6,0,Austrian Football Association,Wolfsberger AC
1012,Jordan,Goalkeeper,Yazeed Abulaila,33,76,0,0,Jordan Football Association,Al-Hussein
1013,Jordan,Defender,Mohammad Abu Hashish,31,56,1,0,Iraq Football Association,Al-Karma
1014,Jordan,Defender,Abdallah Nasib,32,65,3,0,Iraq Football Association,Al-Zawraa
1015,Jordan,Defender,Husam Abu Dahab,26,18,0,0,Jordan Football Association,Al-Faisaly
1016,Jordan,Defender,Yazan Al-Arab,30,80,3,0,Korea Football Association,FC Seoul
1017,Jordan,Midfielder,Amer Jamous,23,19,1,0,Iraq Football Association,Al-Zawraa
1018,Jordan,Forward,Mohammad Abu Zrayq,28,41,5,0,Royal Moroccan Football Federation,Raja Casablanca
1019,Jordan,Midfielder,Noor Al-Rawabdeh,29,68,3,0,Football Association of Malaysia,Selangor
1020,Jordan,Forward,Ali Olwan,26,66,29,0,Qatar Football Association,Al-Sailiya
1021,Jordan,Forward,Musa Al-Taamari,29,92,24,0,French Football Federation,Rennes
1022,Jordan,Forward,Odeh Al-Fakhouri,20,10,1,0,Egyptian Football Association,Pyramids
1023,Jordan,Goalkeeper,Nour Bani Attiah,33,5,0,0,Jordan Football Association,Al-Faisaly
1024,Jordan,Forward,Mahmoud Al-Mardi,32,89,9,0,Jordan Football Association,Al-Hussein
1025,Jordan,Midfielder,Rajaei Ayed,32,72,0,0,Jordan Football Association,Al-Hussein
1026,Jordan,Midfielder,Ibrahim Sadeh,26,57,3,0,Iraq Football Association,Al-Karma
1027,Jordan,Defender,Mo Abualnadi,25,18,0,0,Football Association of Malaysia,Selangor
1028,Jordan,Defender,Salim Obaid,34,11,0,0,Jordan Football Association,Al-Hussein
1029,Jordan,Defender,Mohammad Taha,20,2,0,0,Jordan Football Association,Al-Hussein
1030,Jordan,Defender,Saed Al-Rosan,29,21,2,0,Jordan Football Association,Al-Hussein
1031,Jordan,Midfielder,Mohannad Abu Taha,23,29,1,0,Iraq Football Association,Al-Quwa Al-Jawiya
1032,Jordan,Midfielder,Nizar Al-Rashdan,27,47,4,0,Qatar Football Association,Qatar SC
1033,Jordan,Goalkeeper,Abdallah Al-Fakhouri,26,11,0,0,Jordan Football Association,Al-Wehdat
1034,Jordan,Defender,Ihsan Haddad (captain),32,92,2,0,Jordan Football Association,Al-Hussein
1035,Jordan,Forward,Ali Azaizeh,22,4,0,0,Saudi Arabian Football Federation,Al-Shabab
1036,Jordan,Midfielder,Mohammad Al-Dawoud,34,13,1,0,Jordan Football Association,Al-Wehdat
1037,Jordan,Defender,Anas Badawi,28,1,0,0,Jordan Football Association,Al-Faisaly
1038,Colombia,Goalkeeper,David Ospina,37,130,0,0,Colombian Football Federation,Atlético Nacional
1039,Colombia,Defender,Daniel Muñoz,30,46,3,0,The Football Association,Crystal Palace
1040,Colombia,Defender,Jhon Lucumí,27,37,1,0,Italian Football Federation,Bologna
1041,Colombia,Defender,Santiago Arias,34,68,0,0,Argentine Football Association,Independiente
1042,Colombia,Midfielder,Kevin Castaño,25,25,0,0,Argentine Football Association,River Plate
1043,Colombia,Midfielder,Richard Ríos,26,32,2,0,Portuguese Football Federation,Benfica
1044,Colombia,Forward,Luis Díaz,29,74,22,0,German Football Association,Bayern Munich
1045,Colombia,Midfielder,Jorge Carrascal,28,24,2,0,Brazilian Football Confederation,Flamengo
1046,Colombia,Forward,Jhon Córdoba,33,21,6,0,Russian Football Union,Krasnodar
1047,Colombia,Midfielder,James Rodríguez (captain),34,126,31,0,United States Soccer Federation,Minnesota United FC
1048,Colombia,Midfielder,Jhon Arias,28,38,6,0,Brazilian Football Confederation,Palmeiras
1049,Colombia,Goalkeeper,Camilo Vargas,37,42,0,0,Mexican Football Federation,Atlas
1050,Colombia,Defender,Yerry Mina,31,54,8,0,Italian Football Federation,Cagliari
1051,Colombia,Defender,Gustavo Puerta,22,6,1,0,Royal Spanish Football Federation,Racing Santander
1052,Colombia,Midfielder,Juan Portilla,27,10,0,0,Brazilian Football Confederation,Athletico Paranaense
1053,Colombia,Midfielder,Jefferson Lerma,31,65,5,0,The Football Association,Crystal Palace
1054,Colombia,Defender,Johan Mojica,33,45,1,0,Royal Spanish Football Federation,Mallorca
1055,Colombia,Defender,Willer Ditta,28,5,0,0,Mexican Football Federation,Cruz Azul
1056,Colombia,Forward,Cucho Hernández,27,9,2,0,Royal Spanish Football Federation,Real Betis
1057,Colombia,Midfielder,Juan Fernando Quintero,33,49,6,0,Argentine Football Association,River Plate
1058,Colombia,Forward,Jaminton Campaz,26,10,1,0,Argentine Football Association,Rosario Central
1059,Colombia,Defender,Deiver Machado,32,15,0,0,French Football Federation,Nantes
1060,Colombia,Defender,Davinson Sánchez,29,79,4,0,Turkish Football Federation,Galatasaray
1061,Colombia,Goalkeeper,Álvaro Montero,31,12,0,0,Argentine Football Association,Vélez Sarsfield
1062,Colombia,Forward,Luis Suárez,28,12,5,0,Portuguese Football Federation,Sporting CP
1063,Colombia,Forward,Andrés Gómez,23,8,2,0,Brazilian Football Confederation,Vasco da Gama
1064,DR Congo,Goalkeeper,Lionel Mpasi,31,28,0,0,French Football Federation,Le Havre
1065,DR Congo,Defender,Aaron Wan-Bissaka,28,11,0,0,The Football Association,West Ham United
1066,DR Congo,Defender,Steve Kapuadi,28,4,0,0,Polish Football Association,Widzew Łódź
1067,DR Congo,Defender,Axel Tuanzebe,28,13,1,0,The Football Association,Burnley
1068,DR Congo,Defender,Dylan Batubinsika,30,14,1,0,Hellenic Football Federation,AEL
1069,DR Congo,Midfielder,Ngal'ayel Mukau,21,13,0,0,French Football Federation,Lille
1070,DR Congo,Midfielder,Nathanaël Mbuku,24,18,2,0,French Football Federation,Montpellier
1071,DR Congo,Midfielder,Samuel Moutoussamy,29,57,0,0,Hellenic Football Federation,Atromitos
1072,DR Congo,Forward,Brian Cipenga,28,7,0,0,Royal Spanish Football Federation,Castellón
1073,DR Congo,Midfielder,Théo Bongonda,30,37,7,0,Russian Football Union,Spartak Moscow
1074,DR Congo,Forward,Gaël Kakuta,34,30,5,0,Hellenic Football Federation,AEL
1075,DR Congo,Defender,Joris Kayembe,31,25,0,0,Royal Belgian Football Association,Genk
1076,DR Congo,Forward,Meschak Elia,28,68,12,0,Turkish Football Federation,Alanyaspor
1077,DR Congo,Midfielder,Noah Sadiki,21,19,0,0,The Football Association,Sunderland
1078,DR Congo,Midfielder,Aaron Tshibola,31,16,1,0,Scottish Football Association,Kilmarnock
1079,DR Congo,Goalkeeper,Timothy Fayulu,26,3,0,0,Football Federation of Armenia,Noah
1080,DR Congo,Forward,Cédric Bakambu,35,69,21,0,Royal Spanish Football Federation,Real Betis
1081,DR Congo,Midfielder,Charles Pickel,29,34,1,0,Royal Spanish Football Federation,Espanyol
1082,DR Congo,Forward,Fiston Mayele,31,37,6,0,Egyptian Football Association,Pyramids
1083,DR Congo,Forward,Yoane Wissa,29,37,9,0,The Football Association,Newcastle United
1084,DR Congo,Goalkeeper,Matthieu Epolo,21,1,0,0,Royal Belgian Football Association,Standard Liège
1085,DR Congo,Defender,Chancel Mbemba (captain),31,108,7,0,French Football Federation,Lille
1086,DR Congo,Forward,Simon Banza,29,15,2,0,United Arab Emirates Football Association,Al Jazira
1087,DR Congo,Defender,Gédéon Kalulu,28,28,0,0,Cyprus Football Association,Aris Limassol
1088,DR Congo,Midfielder,Edo Kayembe,28,42,2,0,The Football Association,Watford
1089,DR Congo,Defender,Arthur Masuaku,32,45,4,0,French Football Federation,Lens
1090,Portugal,Goalkeeper,Diogo Costa,26,42,0,0,Portuguese Football Federation,Porto
1091,Portugal,Defender,Nélson Semedo,32,49,0,0,Turkish Football Federation,Fenerbahçe
1092,Portugal,Defender,Rúben Dias,29,75,3,0,The Football Association,Manchester City
1093,Portugal,Defender,Tomás Araújo,24,4,0,0,Portuguese Football Federation,Benfica
1094,Portugal,Defender,Diogo Dalot,27,34,3,0,The Football Association,Manchester United
1095,Portugal,Midfielder,Matheus Nunes,27,19,2,0,The Football Association,Manchester City
1096,Portugal,Forward,Cristiano Ronaldo (captain),41,227,143,0,Saudi Arabian Football Federation,Al-Nassr
1097,Portugal,Midfielder,Bruno Fernandes,31,88,29,0,The Football Association,Manchester United
1098,Portugal,Forward,Gonçalo Ramos,24,24,10,0,French Football Federation,Paris Saint-Germain
1099,Portugal,Midfielder,Bernardo Silva,31,108,14,0,The Football Association,Manchester City
1100,Portugal,Forward,João Félix,26,53,12,0,Saudi Arabian Football Federation,Al-Nassr
1101,Portugal,Goalkeeper,José Sá,33,5,0,0,The Football Association,Wolverhampton Wanderers
1102,Portugal,Defender,Renato Veiga,22,12,1,0,Royal Spanish Football Federation,Villarreal
1103,Portugal,Defender,Gonçalo Inácio,24,21,2,0,Portuguese Football Federation,Sporting CP
1104,Portugal,Midfielder,João Neves,21,21,3,0,French Football Federation,Paris Saint-Germain
1105,Portugal,Forward,Francisco Trincão,26,17,3,0,Portuguese Football Federation,Sporting CP
1106,Portugal,Forward,Rafael Leão,27,44,5,0,Italian Football Federation,Milan
1107,Portugal,Forward,Pedro Neto,26,24,2,0,The Football Association,Chelsea
1108,Portugal,Forward,Gonçalo Guedes,29,34,8,0,Royal Spanish Football Federation,Real Sociedad
1109,Portugal,Defender,João Cancelo,32,67,12,0,Royal Spanish Football Federation,Barcelona
1110,Portugal,Midfielder,Rúben Neves,29,66,1,0,Saudi Arabian Football Federation,Al-Hilal
1111,Portugal,Goalkeeper,Rui Silva,32,3,0,0,Portuguese Football Federation,Sporting CP
1112,Portugal,Midfielder,Vitinha,26,37,0,0,French Football Federation,Paris Saint-Germain
1113,Portugal,Defender,Samú Costa,25,5,0,0,Royal Spanish Football Federation,Mallorca
1114,Portugal,Defender,Nuno Mendes,23,43,1,0,French Football Federation,Paris Saint-Germain
1115,Portugal,Forward,Francisco Conceição,23,16,3,0,Italian Football Federation,Juventus
1116,Uzbekistan,Goalkeeper,Utkir Yusupov,35,40,0,0,Uzbekistan Football Association,Navbahor Namangan
1117,Uzbekistan,Defender,Abdukodir Khusanov,22,27,0,0,The Football Association,Manchester City
1118,Uzbekistan,Defender,Khojiakbar Alijonov,29,40,2,0,Uzbekistan Football Association,Pakhtakor
1119,Uzbekistan,Defender,Farrukh Sayfiev,35,46,1,0,Uzbekistan Football Association,Neftchi Fergana
1120,Uzbekistan,Defender,Rustam Ashurmatov,29,49,1,0,Football Federation Islamic Republic of Iran,Esteghlal
1121,Uzbekistan,Midfielder,Akmal Mozgovoy,27,25,1,0,Uzbekistan Football Association,Pakhtakor
1122,Uzbekistan,Midfielder,Otabek Shukurov,29,84,9,0,United Arab Emirates Football Association,Baniyas
1123,Uzbekistan,Midfielder,Jamshid Iskanderov,32,38,4,0,Uzbekistan Football Association,Neftchi Fergana
1124,Uzbekistan,Midfielder,Odiljon Hamrobekov,30,72,1,0,Football Federation Islamic Republic of Iran,Tractor
1125,Uzbekistan,Midfielder,Jaloliddin Masharipov,32,74,12,0,Football Federation Islamic Republic of Iran,Esteghlal
1126,Uzbekistan,Midfielder,Oston Urunov,25,42,10,0,Football Federation Islamic Republic of Iran,Persepolis
1127,Uzbekistan,Goalkeeper,Abduvohid Nematov,25,8,0,0,Uzbekistan Football Association,Nasaf
1128,Uzbekistan,Defender,Sherzod Nasrullaev,27,31,2,0,Uzbekistan Football Association,Nasaf
1129,Uzbekistan,Forward,Eldor Shomurodov (captain),30,92,44,0,Turkish Football Federation,İstanbul Başakşehir
1130,Uzbekistan,Defender,Umar Eshmurodov,33,29,0,0,Uzbekistan Football Association,Nasaf
1131,Uzbekistan,Goalkeeper,Botirali Ergashev,30,2,0,0,Uzbekistan Football Association,Neftchi Fergana
1132,Uzbekistan,Midfielder,Dostonbek Khamdamov,29,34,5,0,Uzbekistan Football Association,Pakhtakor
1133,Uzbekistan,Defender,Abdulla Abdullaev,28,17,0,0,United Arab Emirates Football Association,Dibba
1134,Uzbekistan,Midfielder,Azizjon Ganiev,28,19,0,0,United Arab Emirates Football Association,Al Bataeh
1135,Uzbekistan,Forward,Azizbek Amonov,28,12,2,0,Uzbekistan Football Association,Dinamo Samarqand
1136,Uzbekistan,Forward,Igor Sergeev,33,83,25,0,Football Federation Islamic Republic of Iran,Persepolis
1137,Uzbekistan,Midfielder,Abbosbek Fayzullaev,22,32,8,0,Turkish Football Federation,İstanbul Başakşehir
1138,Uzbekistan,Midfielder,Sherzod Esanov,23,1,0,0,Uzbekistan Football Association,Bukhara
1139,Uzbekistan,Defender,Bekhruz Karimov,18,2,0,0,Uzbekistan Football Association,Surkhon Termiz
1140,Uzbekistan,Defender,Avazbek Ulmasaliev,26,0,0,0,Uzbekistan Football Association,AGMK
1141,Uzbekistan,Defender,Jakhongir Urozov,22,4,0,0,Uzbekistan Football Association,Dinamo Samarqand
1142,Croatia,Goalkeeper,Dominik Livaković,31,75,0,0,Croatian Football Federation,Dinamo Zagreb
1143,Croatia,Defender,Josip Stanišić,26,31,0,0,German Football Association,Bayern Munich
1144,Croatia,Defender,Marin Pongračić,28,20,0,0,Italian Football Federation,Fiorentina
1145,Croatia,Defender,Joško Gvardiol,24,48,4,0,The Football Association,Manchester City
1146,Croatia,Defender,Duje Ćaleta-Car,29,38,1,0,Royal Spanish Football Federation,Real Sociedad
1147,Croatia,Defender,Josip Šutalo,26,33,0,0,Royal Dutch Football Association,Ajax
1148,Croatia,Midfielder,Nikola Moro,28,10,0,0,Italian Football Federation,Bologna
1149,Croatia,Midfielder,Mateo Kovačić,32,113,5,0,The Football Association,Manchester City
1150,Croatia,Forward,Andrej Kramarić,34,116,36,0,German Football Association,TSG Hoffenheim
1151,Croatia,Midfielder,Luka Modrić (captain),40,198,29,0,Italian Football Federation,Milan
1152,Croatia,Forward,Ante Budimir,34,38,6,0,Royal Spanish Football Federation,Osasuna
1153,Croatia,Goalkeeper,Ivor Pandur,26,0,0,0,The Football Association,Hull City
1154,Croatia,Midfielder,Nikola Vlašić,28,63,10,0,Italian Football Federation,Torino
1155,Croatia,Forward,Ivan Perišić,37,154,38,0,Royal Dutch Football Association,PSV Eindhoven
1156,Croatia,Midfielder,Mario Pašalić,31,85,12,0,Italian Football Federation,Atalanta
1157,Croatia,Midfielder,Martin Baturina,23,19,1,0,Italian Football Federation,Como
1158,Croatia,Midfielder,Petar Sučić,22,17,1,0,Italian Football Federation,Inter Milan
1159,Croatia,Defender,Kristijan Jakić,29,17,2,0,German Football Association,FC Augsburg
1160,Croatia,Midfielder,Toni Fruk,25,7,1,0,Croatian Football Federation,Rijeka
1161,Croatia,Forward,Igor Matanović,23,9,2,0,German Football Association,SC Freiburg
1162,Croatia,Midfielder,Luka Sučić,23,21,1,0,Royal Spanish Football Federation,Real Sociedad
1163,Croatia,Defender,Luka Vušković,19,5,1,0,German Football Association,Hamburger SV
1164,Croatia,Goalkeeper,Dominik Kotarski,26,4,0,0,Danish Football Association,Copenhagen
1165,Croatia,Forward,Marco Pašalić,25,15,1,0,United States Soccer Federation,Orlando City SC
1166,Croatia,Defender,Martin Erlić,28,13,1,0,Danish Football Association,Midtjylland
1167,Croatia,Forward,Petar Musa,28,11,1,0,United States Soccer Federation,FC Dallas
1168,England,Goalkeeper,Jordan Pickford,32,83,0,0,The Football Association,Everton
1169,England,Defender,Ezri Konsa,28,19,1,0,The Football Association,Aston Villa
1170,England,Defender,Nico O'Reilly,21,4,0,0,The Football Association,Manchester City
1171,England,Midfielder,Declan Rice,27,72,6,0,The Football Association,Arsenal
1172,England,Defender,John Stones,32,88,3,0,The Football Association,Manchester City
1173,England,Defender,Marc Guéhi,25,28,1,0,The Football Association,Manchester City
1174,England,Forward,Bukayo Saka,24,48,14,0,The Football Association,Arsenal
1175,England,Midfielder,Elliot Anderson,23,8,0,0,The Football Association,Nottingham Forest
1176,England,Forward,Harry Kane (captain),32,113,79,0,German Football Association,Bayern Munich
1177,England,Midfielder,Jude Bellingham,22,47,6,0,Royal Spanish Football Federation,Real Madrid
1178,England,Forward,Marcus Rashford,28,71,18,0,Royal Spanish Football Federation,Barcelona
1179,England,Defender,Tino Livramento,23,6,0,0,The Football Association,Newcastle United
1180,England,Goalkeeper,Dean Henderson,29,4,0,0,The Football Association,Crystal Palace
1181,England,Midfielder,Jordan Henderson,35,90,3,0,The Football Association,Brentford
1182,England,Defender,Dan Burn,34,7,0,0,The Football Association,Newcastle United
1183,England,Midfielder,Kobbie Mainoo,21,13,0,0,The Football Association,Manchester United
1184,England,Midfielder,Morgan Rogers,23,14,1,0,The Football Association,Aston Villa
1185,England,Forward,Anthony Gordon,25,18,2,0,The Football Association,Newcastle United
1186,England,Forward,Ollie Watkins,30,21,6,0,The Football Association,Aston Villa
1187,England,Forward,Noni Madueke,24,10,1,0,The Football Association,Arsenal
